



---------------------------------------------
start:2024-07-06T17:33:36.068
---------------------------------------------




rank 6 | trajectory 108 of circuit 4 -- done
rank 3 | trajectory 174 of circuit 2 -- done
rank 19 | trajectory 54 of circuit 2 -- done
rank 15 | trajectory 22 of circuit 1 -- done
rank 15 | trajectory 29 of circuit 2 -- done
rank 6 | trajectory 69 of circuit 2 -- done
rank 21 | trajectory 14 of circuit 1 -- done
rank 18 | trajectory 31 of circuit 2 -- done
rank 22 | trajectory 140 of circuit 3 -- done
rank 3 | trajectory 154 of circuit 1 -- done
rank 14 | trajectory 137 of circuit 1 -- done
rank 9 | trajectory 115 of circuit 1 -- done
rank 6 | trajectory 78 of circuit 1 -- done
rank 2 | trajectory 192 of circuit 1 -- done
rank 21 | trajectory 94 of circuit 1 -- done
rank 1 | trajectory 186 of circuit 3 -- done
rank 21 | trajectory 67 of circuit 2 -- done
rank 8 | trajectory 73 of circuit 1 -- done
rank 13 | trajectory 2 of circuit 2 -- done
rank 7 | trajectory 157 of circuit 2 -- done
rank 17 | trajectory 84 of circuit 3 -- done
rank 17 | trajectory 100 of circuit 2 -- done
rank 11 | trajectory 143 of circuit 1 -- done
rank 13 | trajectory 105 of circuit 2 -- done
rank 11 | trajectory 116 of circuit 1 -- done
rank 6 | trajectory 103 of circuit 2 -- done
rank 2 | trajectory 98 of circuit 2 -- done
rank 2 | trajectory 26 of circuit 3 -- done
rank 21 | trajectory 138 of circuit 2 -- done
rank 11 | trajectory 74 of circuit 1 -- done
rank 13 | trajectory 163 of circuit 2 -- done
rank 11 | trajectory 23 of circuit 1 -- done
rank 13 | trajectory 91 of circuit 2 -- done
rank 2 | trajectory 107 of circuit 1 -- done
rank 7 | trajectory 8 of circuit 3 -- done
rank 1 | trajectory 184 of circuit 4 -- done
rank 12 | trajectory 56 of circuit 1 -- done
rank 23 | trajectory 105 of circuit 1 -- done
rank 14 | trajectory 80 of circuit 1 -- done
rank 1 | trajectory 128 of circuit 5 -- done
rank 2 | trajectory 69 of circuit 3 -- done
rank 2 | trajectory 185 of circuit 3 -- done
rank 5 | trajectory 125 of circuit 1 -- done
rank 7 | trajectory 9 of circuit 1 -- done
rank 14 | trajectory 15 of circuit 1 -- done
rank 14 | trajectory 169 of circuit 3 -- done
rank 2 | trajectory 117 of circuit 2 -- done
rank 2 | trajectory 53 of circuit 2 -- done
rank 18 | trajectory 111 of circuit 1 -- done
rank 4 | trajectory 101 of circuit 1 -- done
rank 2 | trajectory 161 of circuit 3 -- done
rank 6 | trajectory 167 of circuit 4 -- done
rank 23 | trajectory 50 of circuit 1 -- done
rank 3 | trajectory 169 of circuit 2 -- done
rank 5 | trajectory 144 of circuit 3 -- done
rank 22 | trajectory 182 of circuit 5 -- done
rank 14 | trajectory 126 of circuit 1 -- done
rank 6 | trajectory 153 of circuit 3 -- done
rank 6 | trajectory 71 of circuit 3 -- done
rank 3 | trajectory 58 of circuit 2 -- done
rank 1 | trajectory 142 of circuit 5 -- done
rank 12 | trajectory 19 of circuit 3 -- done
rank 17 | trajectory 120 of circuit 1 -- done
rank 14 | trajectory 44 of circuit 2 -- done
rank 13 | trajectory 25 of circuit 2 -- done
rank 5 | trajectory 92 of circuit 2 -- done
rank 23 | trajectory 108 of circuit 1 -- done
rank 14 | trajectory 166 of circuit 1 -- done
rank 19 | trajectory 81 of circuit 1 -- done
rank 7 | trajectory 159 of circuit 1 -- done
rank 22 | trajectory 180 of circuit 5 -- done
rank 3 | trajectory 167 of circuit 2 -- done
rank 18 | trajectory 155 of circuit 2 -- done
rank 0 | trajectory 90 of circuit 1 -- done
rank 9 | trajectory 142 of circuit 2 -- done
rank 2 | trajectory 190 of circuit 3 -- done
rank 21 | trajectory 1 of circuit 1 -- done
rank 10 | trajectory 33 of circuit 1 -- done
rank 22 | trajectory 110 of circuit 5 -- done
rank 11 | trajectory 72 of circuit 1 -- done
rank 2 | trajectory 164 of circuit 3 -- done
rank 7 | trajectory 131 of circuit 3 -- done
rank 10 | trajectory 176 of circuit 1 -- done
rank 13 | trajectory 101 of circuit 4 -- done
rank 10 | trajectory 161 of circuit 1 -- done
rank 4 | trajectory 79 of circuit 1 -- done
rank 3 | trajectory 28 of circuit 2 -- done
rank 2 | trajectory 23 of circuit 3 -- done
rank 11 | trajectory 51 of circuit 1 -- done
rank 2 | trajectory 188 of circuit 3 -- done
