┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-06-03T22:35:47.842
---------------------------------------------




rank 28 | trajectory 42 of circuit 99 -- done
rank 22 | trajectory 168 of circuit 89 -- done
rank 8 | trajectory 58 of circuit 100 -- done
rank 28 | trajectory 102 of circuit 96 -- done
rank 18 | trajectory 11 of circuit 99 -- done
rank 41 | trajectory 172 of circuit 98 -- done
rank 16 | trajectory 3 of circuit 96 -- done
rank 13 | trajectory 32 of circuit 100 -- done
rank 27 | trajectory 191 of circuit 96 -- done
rank 34 | trajectory 192 of circuit 97 -- done
rank 33 | trajectory 54 of circuit 94 -- done
rank 37 | trajectory 19 of circuit 98 -- done
rank 37 | trajectory 108 of circuit 98 -- done
rank 17 | trajectory 61 of circuit 91 -- done
rank 26 | trajectory 184 of circuit 95 -- done
rank 10 | trajectory 165 of circuit 96 -- done
rank 17 | trajectory 22 of circuit 90 -- done
rank 9 | trajectory 118 of circuit 99 -- done
rank 34 | trajectory 143 of circuit 97 -- done
rank 29 | trajectory 171 of circuit 100 -- done
rank 4 | trajectory 63 of circuit 99 -- done
rank 37 | trajectory 168 of circuit 96 -- done
rank 28 | trajectory 104 of circuit 97 -- done
rank 41 | trajectory 178 of circuit 95 -- done
rank 10 | trajectory 12 of circuit 98 -- done
rank 15 | trajectory 71 of circuit 100 -- done
rank 33 | trajectory 26 of circuit 94 -- done
rank 29 | trajectory 126 of circuit 97 -- done
rank 13 | trajectory 180 of circuit 98 -- done
rank 10 | trajectory 40 of circuit 100 -- done
rank 41 | trajectory 103 of circuit 99 -- done
rank 16 | trajectory 53 of circuit 94 -- done
rank 25 | trajectory 78 of circuit 98 -- done
rank 28 | trajectory 92 of circuit 99 -- done
rank 10 | trajectory 17 of circuit 97 -- done
