┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382
┌ Warning: The Pkg REPL mode is intended for interactive use only, and should not be used from scripts. It is recommended to use the functional API instead.
└ @ Pkg.REPLMode ~/.julia/juliaup/julia-1.10.3+0.x64.linux.gnu/share/julia/stdlib/v1.10/Pkg/src/REPLMode/REPLMode.jl:382




---------------------------------------------
start:2024-05-30T17:00:30.011
---------------------------------------------




rank 1 | trajectory 236 of circuit 1 -- done
rank 1 | trajectory 46 of circuit 1 -- done
rank 0 | trajectory 381 of circuit 1 -- done
rank 1 | trajectory 84 of circuit 1 -- done
rank 0 | trajectory 125 of circuit 1 -- done
rank 0 | trajectory 79 of circuit 1 -- done
rank 0 | trajectory 41 of circuit 1 -- done
rank 0 | trajectory 175 of circuit 1 -- done
rank 0 | trajectory 225 of circuit 1 -- done
rank 0 | trajectory 345 of circuit 1 -- done
rank 1 | trajectory 318 of circuit 1 -- done
rank 1 | trajectory 148 of circuit 1 -- done
rank 0 | trajectory 117 of circuit 1 -- done
rank 0 | trajectory 295 of circuit 1 -- done
rank 1 | trajectory 330 of circuit 1 -- done
rank 0 | trajectory 51 of circuit 1 -- done
rank 0 | trajectory 289 of circuit 1 -- done
rank 1 | trajectory 14 of circuit 1 -- done
rank 1 | trajectory 316 of circuit 1 -- done
rank 1 | trajectory 92 of circuit 1 -- done
rank 0 | trajectory 309 of circuit 1 -- done
rank 0 | trajectory 335 of circuit 1 -- done
rank 1 | trajectory 168 of circuit 1 -- done
rank 1 | trajectory 78 of circuit 1 -- done
rank 0 | trajectory 171 of circuit 1 -- done
rank 0 | trajectory 319 of circuit 1 -- done
rank 1 | trajectory 372 of circuit 1 -- done
rank 1 | trajectory 28 of circuit 1 -- done
rank 1 | trajectory 244 of circuit 1 -- done
rank 0 | trajectory 73 of circuit 1 -- done
rank 1 | trajectory 80 of circuit 1 -- done
rank 0 | trajectory 365 of circuit 1 -- done
rank 1 | trajectory 100 of circuit 1 -- done
rank 1 | trajectory 334 of circuit 1 -- done
rank 0 | trajectory 373 of circuit 1 -- done
rank 0 | trajectory 253 of circuit 1 -- done
rank 0 | trajectory 47 of circuit 1 -- done
rank 0 | trajectory 149 of circuit 1 -- done
rank 0 | trajectory 89 of circuit 1 -- done
rank 1 | trajectory 290 of circuit 1 -- done
rank 0 | trajectory 231 of circuit 1 -- done
rank 0 | trajectory 115 of circuit 1 -- done
rank 1 | trajectory 320 of circuit 1 -- done
rank 0 | trajectory 341 of circuit 1 -- done
rank 0 | trajectory 119 of circuit 1 -- done
rank 1 | trajectory 340 of circuit 1 -- done
rank 1 | trajectory 18 of circuit 1 -- done
rank 0 | trajectory 219 of circuit 1 -- done
rank 0 | trajectory 181 of circuit 1 -- done
rank 0 | trajectory 35 of circuit 1 -- done
rank 0 | trajectory 213 of circuit 1 -- done
rank 0 | trajectory 323 of circuit 1 -- done
rank 1 | trajectory 246 of circuit 1 -- done
rank 0 | trajectory 157 of circuit 1 -- done
rank 1 | trajectory 324 of circuit 1 -- done
rank 0 | trajectory 155 of circuit 1 -- done
rank 0 | trajectory 195 of circuit 1 -- done
rank 1 | trajectory 212 of circuit 1 -- done
rank 0 | trajectory 71 of circuit 1 -- done
rank 0 | trajectory 223 of circuit 1 -- done
rank 1 | trajectory 24 of circuit 1 -- done
rank 0 | trajectory 81 of circuit 1 -- done
rank 0 | trajectory 227 of circuit 1 -- done
rank 0 | trajectory 59 of circuit 1 -- done
rank 1 | trajectory 116 of circuit 1 -- done
rank 0 | trajectory 241 of circuit 1 -- done
rank 1 | trajectory 314 of circuit 1 -- done
rank 0 | trajectory 169 of circuit 1 -- done
rank 1 | trajectory 370 of circuit 1 -- done
rank 0 | trajectory 215 of circuit 1 -- done
rank 0 | trajectory 291 of circuit 1 -- done
rank 1 | trajectory 300 of circuit 1 -- done
rank 0 | trajectory 245 of circuit 1 -- done
rank 0 | trajectory 23 of circuit 1 -- done
rank 0 | trajectory 371 of circuit 1 -- done
rank 0 | trajectory 123 of circuit 1 -- done
rank 0 | trajectory 243 of circuit 1 -- done
rank 0 | trajectory 233 of circuit 1 -- done
rank 1 | trajectory 86 of circuit 1 -- done
rank 0 | trajectory 333 of circuit 1 -- done
rank 1 | trajectory 136 of circuit 1 -- done
rank 1 | trajectory 150 of circuit 1 -- done
rank 1 | trajectory 172 of circuit 1 -- done
rank 0 | trajectory 45 of circuit 1 -- done
rank 1 | trajectory 128 of circuit 1 -- done
rank 0 | trajectory 139 of circuit 1 -- done
rank 1 | trajectory 70 of circuit 1 -- done
rank 0 | trajectory 273 of circuit 1 -- done
rank 1 | trajectory 62 of circuit 1 -- done
rank 1 | trajectory 206 of circuit 1 -- done
rank 0 | trajectory 249 of circuit 1 -- done
rank 0 | trajectory 267 of circuit 1 -- done
rank 0 | trajectory 343 of circuit 1 -- done
rank 0 | trajectory 27 of circuit 1 -- done
rank 1 | trajectory 108 of circuit 1 -- done
rank 0 | trajectory 379 of circuit 1 -- done
rank 1 | trajectory 114 of circuit 1 -- done
rank 0 | trajectory 77 of circuit 1 -- done
rank 0 | trajectory 185 of circuit 1 -- done
rank 1 | trajectory 326 of circuit 1 -- done
rank 1 | trajectory 258 of circuit 1 -- done
rank 1 | trajectory 68 of circuit 1 -- done
rank 1 | trajectory 362 of circuit 1 -- done
rank 1 | trajectory 382 of circuit 1 -- done
rank 1 | trajectory 132 of circuit 1 -- done
rank 0 | trajectory 75 of circuit 1 -- done
rank 0 | trajectory 357 of circuit 1 -- done
rank 1 | trajectory 358 of circuit 1 -- done
rank 0 | trajectory 209 of circuit 1 -- done
rank 1 | trajectory 338 of circuit 1 -- done
rank 0 | trajectory 109 of circuit 1 -- done
rank 1 | trajectory 214 of circuit 1 -- done
rank 0 | trajectory 205 of circuit 1 -- done
rank 0 | trajectory 301 of circuit 1 -- done
rank 1 | trajectory 378 of circuit 1 -- done
rank 0 | trajectory 315 of circuit 1 -- done
rank 0 | trajectory 285 of circuit 1 -- done
rank 0 | trajectory 339 of circuit 1 -- done
rank 1 | trajectory 130 of circuit 1 -- done
rank 0 | trajectory 349 of circuit 1 -- done
rank 1 | trajectory 112 of circuit 1 -- done
rank 1 | trajectory 368 of circuit 1 -- done
rank 1 | trajectory 234 of circuit 1 -- done
rank 0 | trajectory 49 of circuit 1 -- done
rank 1 | trajectory 220 of circuit 1 -- done
rank 0 | trajectory 281 of circuit 1 -- done
rank 1 | trajectory 48 of circuit 1 -- done
rank 1 | trajectory 346 of circuit 1 -- done
rank 1 | trajectory 16 of circuit 1 -- done
rank 1 | trajectory 94 of circuit 1 -- done
rank 1 | trajectory 344 of circuit 1 -- done
rank 0 | trajectory 7 of circuit 1 -- done
rank 0 | trajectory 279 of circuit 1 -- done
rank 1 | trajectory 44 of circuit 1 -- done
rank 1 | trajectory 60 of circuit 1 -- done
rank 1 | trajectory 284 of circuit 1 -- done
rank 0 | trajectory 263 of circuit 1 -- done
rank 1 | trajectory 308 of circuit 1 -- done
rank 0 | trajectory 97 of circuit 1 -- done
rank 1 | trajectory 106 of circuit 1 -- done
rank 1 | trajectory 6 of circuit 1 -- done
rank 0 | trajectory 265 of circuit 1 -- done
rank 1 | trajectory 292 of circuit 1 -- done
rank 1 | trajectory 88 of circuit 1 -- done
rank 0 | trajectory 39 of circuit 1 -- done
rank 0 | trajectory 43 of circuit 1 -- done
rank 0 | trajectory 313 of circuit 1 -- done
rank 0 | trajectory 317 of circuit 1 -- done
rank 1 | trajectory 352 of circuit 1 -- done
rank 0 | trajectory 31 of circuit 1 -- done
rank 1 | trajectory 138 of circuit 1 -- done
rank 1 | trajectory 26 of circuit 1 -- done
rank 1 | trajectory 164 of circuit 1 -- done
rank 1 | trajectory 170 of circuit 1 -- done
rank 1 | trajectory 64 of circuit 1 -- done
rank 1 | trajectory 310 of circuit 1 -- done
rank 0 | trajectory 311 of circuit 1 -- done
rank 0 | trajectory 347 of circuit 1 -- done
rank 1 | trajectory 264 of circuit 1 -- done
rank 1 | trajectory 336 of circuit 1 -- done
rank 1 | trajectory 66 of circuit 1 -- done
rank 0 | trajectory 135 of circuit 1 -- done
rank 0 | trajectory 67 of circuit 1 -- done
rank 1 | trajectory 10 of circuit 1 -- done
rank 0 | trajectory 137 of circuit 1 -- done
rank 0 | trajectory 207 of circuit 1 -- done
rank 1 | trajectory 348 of circuit 1 -- done
