0.0	93.59	99.63	101.51	103.36	103.76	104.8	104.85	105.37	105.61	106.06	105.61	106.61	106.59	106.07	106.48	106.42	106.95	107.26	106.89	106.7	106.3	106.82	107.65	107.39	107.29	107.04	106.87	107.01	107.15	107.06	106.51	107.16	107.66	107.32	107.32	106.92	107.2	107.62	107.76	106.9	106.98	106.97	107.41	107.35	106.77	106.89	106.99	107.0	106.67	106.49	106.35	106.66	106.81	106.69	106.31	106.06	105.72	105.96	106.28	106.6	106.33	106.26	106.26	105.65	106.31	105.75	104.21	103.36	101.59	100.02	94.04	0.0
0.0	93.85	99.82	101.84	103.4	104.81	105.31	104.96	105.94	106.04	106.59	106.07	106.87	106.48	106.82	106.52	106.46	106.98	107.28	107.18	106.62	106.4	106.7	106.86	107.13	106.62	107.66	107.7	107.32	107.06	107.5	107.55	107.31	108.04	107.61	107.62	107.2	106.94	107.24	107.12	107.61	107.25	107.48	107.58	107.63	107.37	106.81	107.01	106.99	107.04	106.85	107.22	107.02	107.16	106.99	106.43	106.71	106.58	106.48	106.44	106.58	106.09	106.43	106.12	106.0	105.52	104.61	104.8	104.2	102.23	99.82	94.24	0.0
0.0	93.28	99.17	101.73	103.19	104.01	104.54	105.3	105.92	105.61	105.77	106.3	106.5	106.2	106.41	107.11	107.27	107.05	106.75	107.56	107.28	107.44	107.17	107.51	106.85	106.48	106.96	106.57	107.23	107.31	107.05	107.08	106.89	107.39	106.82	106.49	106.95	106.82	106.5	106.73	107.28	107.98	107.42	107.57	106.84	106.71	107.03	106.55	107.0	107.21	107.52	107.22	107.28	107.18	107.14	106.78	106.58	106.59	106.33	106.47	107.13	106.65	106.35	106.05	105.69	105.63	104.98	103.91	102.37	101.87	99.64	93.65	0.0
0.0	93.6	99.42	102.15	103.24	104.03	104.5	104.89	105.57	105.99	105.1	106.18	105.93	105.84	106.24	106.0	105.96	106.2	106.06	105.97	105.96	106.65	105.96	106.95	106.5	106.5	105.95	106.14	106.73	106.12	106.56	105.94	105.86	105.89	105.72	106.53	106.86	107.09	106.3	106.46	106.54	106.49	106.97	106.4	107.06	106.87	107.11	106.4	106.31	106.67	106.81	106.97	106.76	106.84	106.37	106.6	106.84	106.64	106.83	106.61	106.22	106.32	106.34	105.66	105.15	105.15	104.63	103.83	103.53	101.17	99.59	93.36	0.0
0.0	94.05	99.87	102.18	103.71	104.35	105.58	105.75	105.78	106.42	106.42	106.81	106.69	107.56	106.7	106.02	106.62	106.73	106.01	106.52	106.24	106.57	106.68	107.25	107.01	106.95	106.91	106.68	107.46	106.67	107.53	107.48	107.29	107.67	107.65	107.17	107.31	106.7	106.48	107.23	107.25	107.56	107.66	107.71	107.61	107.18	106.9	106.66	106.89	107.02	107.02	106.78	106.53	106.52	106.72	105.88	105.29	105.65	105.96	105.7	105.56	105.2	105.45	105.27	105.31	105.64	104.69	104.38	103.31	101.95	99.87	93.53	0.0
0.0	94.09	99.89	102.76	104.21	105.07	105.84	105.6	105.92	106.17	107.34	106.8	106.68	106.74	106.93	107.19	106.77	107.03	107.05	106.85	106.72	107.46	106.76	107.52	107.73	107.7	107.56	107.47	107.66	107.35	107.56	107.57	107.18	107.45	107.38	107.53	107.09	107.18	107.92	107.47	107.78	107.35	107.68	107.12	107.88	107.22	107.56	106.96	107.48	107.58	108.11	107.67	107.53	107.39	107.78	106.87	107.0	106.99	107.15	106.97	107.55	106.75	106.63	106.24	106.08	105.93	105.34	104.35	103.88	103.05	99.99	94.2	0.0
0.0	93.81	100.3	102.25	102.99	104.3	105.07	105.76	105.86	106.14	106.06	106.26	106.02	106.03	106.55	106.34	106.51	107.08	107.69	106.96	107.23	107.11	107.4	107.81	107.54	107.23	107.45	107.29	107.19	107.39	107.29	106.77	107.19	106.93	106.43	107.05	107.32	107.35	107.37	107.22	106.93	106.73	106.96	106.76	107.64	107.11	107.08	106.89	106.92	107.0	107.16	107.06	106.76	106.88	106.47	106.85	106.61	106.63	106.11	106.08	106.61	106.38	106.14	105.61	105.66	105.36	104.96	104.36	102.91	102.12	99.28	93.76	0.0
0.0	94.2	100.23	102.53	103.45	104.34	104.77	105.48	105.56	106.3	105.7	106.1	106.47	106.28	106.28	106.29	106.5	106.69	106.81	106.51	106.77	106.7	106.85	107.4	107.04	106.51	107.08	106.9	106.64	106.99	107.35	106.78	106.74	107.43	107.37	107.09	106.85	106.96	107.24	107.21	107.16	107.26	107.3	106.76	106.96	106.94	106.8	106.9	106.96	106.46	106.95	106.63	107.1	107.08	106.98	106.64	106.01	106.37	106.48	106.23	106.57	105.57	105.09	104.87	105.33	105.4	104.97	105.02	103.86	101.94	99.62	93.91	0.0
0.0	93.42	99.34	102.56	103.29	104.09	104.7	104.97	105.04	105.75	106.4	106.57	106.4	106.73	106.51	106.47	107.19	106.79	106.89	106.75	106.74	107.05	107.09	106.88	106.76	106.93	106.72	106.42	106.86	106.57	107.14	106.83	106.75	107.65	107.89	106.82	106.57	106.8	106.25	106.76	107.5	106.86	106.71	106.48	107.41	107.25	106.41	106.87	107.13	107.04	107.28	107.05	106.59	107.59	106.9	106.74	106.77	106.53	106.66	106.59	105.85	105.88	106.84	105.83	105.52	105.34	105.2	104.23	103.19	102.09	99.73	93.36	0.0
0.0	93.95	99.54	103.03	103.82	105.24	105.27	105.71	105.82	105.91	105.4	105.45	105.82	105.91	106.59	106.44	106.39	106.72	106.78	106.95	106.59	107.0	107.11	106.62	107.22	107.26	107.39	107.44	108.27	107.83	107.11	107.68	107.25	107.92	107.77	107.65	107.4	107.6	107.45	107.32	108.06	107.92	107.72	107.72	107.29	108.53	107.78	107.95	107.9	107.86	107.2	107.28	107.49	107.04	107.03	106.85	107.3	107.36	107.65	107.49	107.53	107.18	106.85	105.4	106.05	105.55	105.35	104.89	104.28	103.23	99.88	94.02	0.0
0.0	94.12	100.27	102.66	103.98	104.62	105.26	106.14	106.27	105.72	106.8	106.82	107.1	106.63	106.73	106.93	107.09	107.51	107.14	107.1	107.46	107.37	108.18	107.75	108.1	107.77	108.23	108.0	107.56	108.05	108.1	107.61	107.26	107.5	107.29	107.0	107.39	107.29	107.43	107.75	107.89	107.89	108.18	107.65	107.43	107.05	107.05	107.59	107.53	107.15	106.62	107.22	106.84	107.21	106.9	106.73	106.86	106.81	107.37	106.83	107.33	106.85	106.75	105.63	106.17	106.25	105.51	104.97	104.32	102.47	100.73	94.32	0.0
0.0	93.72	98.88	101.51	102.57	103.43	103.9	104.84	105.38	105.42	106.05	106.14	106.27	106.51	106.2	106.35	107.07	107.25	107.11	106.9	106.91	107.22	107.12	107.54	107.25	107.02	107.0	106.52	106.72	107.21	107.62	107.69	107.21	107.42	106.91	107.62	106.71	106.75	106.76	106.91	106.89	107.21	107.5	107.15	106.89	106.42	107.59	107.48	107.48	106.65	107.77	107.11	106.79	106.67	106.66	106.52	106.09	105.98	106.04	106.17	105.93	105.32	105.96	105.39	105.5	105.06	104.72	104.23	103.32	102.11	99.53	93.59	0.0
0.0	93.46	99.48	101.45	102.41	103.36	104.67	104.58	105.41	105.3	105.56	105.99	105.88	106.28	107.27	106.35	106.73	106.57	105.54	106.39	106.67	106.68	106.68	106.18	106.77	107.42	106.76	107.41	107.28	107.5	106.72	106.93	106.32	106.57	106.64	106.36	106.85	106.88	107.16	106.61	106.79	107.01	107.18	106.99	107.24	106.91	106.26	106.78	107.28	106.79	106.73	105.56	106.25	105.55	106.25	105.91	105.91	105.74	105.34	105.52	106.21	106.16	105.69	105.76	105.61	104.61	104.96	104.44	103.37	102.05	99.19	93.86	0.0
0.0	93.76	99.66	101.99	103.44	104.21	104.98	105.4	105.85	106.3	106.1	106.37	106.39	106.42	106.11	106.77	106.94	106.49	107.07	107.13	107.65	107.5	107.27	106.81	107.29	107.54	108.03	107.33	107.45	107.77	107.45	107.63	106.95	107.46	107.03	107.36	107.28	107.0	107.24	107.21	107.45	106.26	106.88	107.38	107.21	107.0	107.81	107.47	106.8	107.17	107.45	107.01	107.5	106.63	107.12	106.49	106.31	106.25	106.1	106.68	106.56	106.21	105.79	105.95	105.83	105.41	104.9	104.53	103.72	102.5	99.53	94.04	0.0
0.0	93.92	98.88	101.42	103.03	104.15	104.21	104.76	105.7	105.49	105.73	105.85	105.97	105.92	106.15	106.76	106.28	106.56	106.11	106.45	105.46	106.19	106.26	106.3	106.86	106.32	106.81	106.48	106.64	106.51	107.14	106.41	106.83	106.73	106.54	106.57	106.63	107.0	107.05	106.59	106.3	106.44	106.46	106.01	106.1	106.72	106.67	106.43	106.57	106.19	105.94	105.84	105.57	105.88	105.06	105.23	105.44	105.44	105.41	105.7	105.24	105.79	105.4	104.53	104.6	104.18	104.68	104.03	103.1	101.68	98.96	93.77	0.0
0.0	93.36	98.86	101.34	103.07	103.74	104.38	104.57	105.4	105.48	105.63	105.13	105.89	105.38	106.1	105.17	105.6	106.0	106.14	105.92	106.06	106.38	106.76	106.7	105.9	106.68	106.17	106.27	106.57	106.36	105.82	106.42	106.61	106.33	105.81	106.61	106.63	107.37	107.08	106.75	107.26	106.93	106.79	106.55	106.99	107.11	106.33	106.5	106.55	107.13	106.81	106.19	106.44	106.73	106.32	106.37	106.56	106.3	106.41	105.98	105.5	105.37	105.0	104.93	105.04	104.6	103.94	103.73	102.86	101.11	98.75	93.44	0.0
