0.0	82.73	87.75	90.23	91.1	92.11	92.84	93.0	93.17	93.52	93.93	93.87	94.12	93.95	94.81	94.07	94.41	94.75	94.65	94.57	94.57	94.77	94.62	94.25	94.07	94.2	94.73	95.09	94.9	95.06	95.11	95.17	95.07	95.24	94.64	94.29	94.95	94.88	94.67	94.03	94.25	94.44	94.53	94.59	95.06	94.67	94.76	94.78	94.72	94.74	94.75	94.62	94.35	94.72	93.84	93.24	93.28	93.41	92.7	92.86	91.72	90.91	87.89	83.06	0.0
0.0	83.31	88.16	90.3	91.66	91.75	92.51	93.19	93.42	94.18	93.9	94.52	93.81	94.33	94.15	94.01	94.32	94.03	94.11	94.27	94.67	94.65	94.79	94.79	94.46	94.65	94.51	94.64	94.88	94.65	95.0	95.16	95.16	94.99	95.28	94.87	94.46	94.53	94.81	93.98	94.26	94.85	94.18	94.41	94.73	94.41	94.08	94.4	94.79	94.52	94.64	94.27	94.13	93.37	94.11	94.03	93.83	93.28	92.84	92.37	91.3	90.01	88.22	83.77	0.0
0.0	82.95	87.86	90.48	91.92	92.97	93.29	93.42	93.75	93.51	93.52	93.44	93.99	94.49	94.25	95.16	94.49	94.35	94.96	94.91	94.33	95.81	95.02	95.11	95.13	95.55	95.11	95.15	95.35	95.14	95.54	95.84	94.75	94.48	95.22	94.98	94.59	94.58	94.27	94.16	95.33	94.22	94.93	94.77	94.46	95.15	94.67	94.46	94.88	94.17	94.47	95.04	94.24	94.14	93.99	93.41	93.3	93.03	92.52	92.01	91.03	90.69	88.37	83.15	0.0
0.0	83.24	88.29	90.55	92.33	93.15	93.57	93.8	93.83	94.11	94.43	94.33	94.28	94.49	94.26	94.09	94.38	94.64	94.62	94.17	94.54	93.66	95.04	94.65	94.63	94.89	94.6	95.22	94.76	94.58	94.4	94.82	94.72	94.29	95.12	94.89	94.7	95.02	94.62	94.7	95.05	95.35	95.07	94.99	94.84	94.62	94.83	95.56	95.44	95.08	95.29	95.09	94.77	94.52	94.26	93.91	94.1	93.72	93.28	92.78	92.0	90.39	88.71	83.44	0.0
0.0	82.99	88.55	90.03	91.45	92.4	92.87	92.59	93.27	93.38	94.19	93.89	94.23	93.94	94.2	93.67	94.15	93.94	93.98	93.79	94.48	94.57	93.89	94.57	94.55	94.24	94.25	94.25	94.43	94.38	94.85	94.94	94.8	94.36	94.77	94.63	94.92	94.66	94.64	94.71	94.52	94.45	94.18	94.24	94.99	94.41	94.35	94.62	94.28	94.52	94.58	94.39	93.91	93.87	93.36	92.5	92.98	93.1	92.69	91.86	91.6	90.64	88.59	83.14	0.0
0.0	82.87	88.72	90.95	91.99	93.0	93.19	93.17	93.28	93.62	93.79	94.56	94.54	93.94	94.26	94.74	94.4	94.8	94.44	94.17	93.98	94.43	94.54	94.5	94.42	94.8	94.01	94.38	94.29	94.59	94.37	94.17	95.13	94.59	95.01	94.63	94.56	95.15	95.0	94.61	94.38	94.03	94.26	93.75	93.93	94.39	94.59	94.38	94.38	94.51	94.96	94.61	94.06	94.31	93.89	94.06	94.04	93.3	93.34	92.73	91.99	90.81	88.26	83.27	0.0
0.0	83.1	88.17	89.98	91.43	92.18	92.82	93.07	93.27	94.11	94.44	94.34	94.21	93.53	94.06	94.6	94.2	94.18	94.46	94.28	94.62	94.29	94.2	94.59	94.79	94.85	94.93	94.77	94.96	94.71	94.6	95.1	95.12	94.84	94.86	94.61	94.6	94.21	95.29	94.87	94.62	94.51	94.8	94.69	94.6	93.74	93.78	94.54	94.0	93.8	94.32	93.99	93.89	93.46	93.38	93.03	93.27	93.3	92.36	92.45	91.45	90.54	87.79	83.07	0.0
0.0	83.34	88.54	90.97	91.66	92.8	93.16	93.94	94.91	93.98	93.97	94.34	95.24	95.18	94.73	95.13	94.83	94.28	94.6	94.27	95.28	94.61	95.29	95.19	95.07	95.12	94.52	94.68	94.09	94.72	94.51	94.88	95.46	95.06	94.86	94.79	95.37	94.47	95.24	94.71	94.76	94.6	94.54	94.4	94.79	95.36	94.6	93.96	94.6	94.64	94.73	94.48	94.16	94.65	94.08	93.68	93.65	93.88	93.42	92.91	92.06	90.37	88.29	83.61	0.0
0.0	83.23	88.36	90.62	91.94	92.71	93.15	93.25	93.39	93.6	94.26	94.1	94.23	94.36	94.35	94.64	94.04	94.33	94.74	94.85	95.57	95.06	95.11	94.8	94.49	94.93	94.67	94.65	94.57	94.76	94.96	94.05	94.31	94.83	94.42	95.39	94.44	94.8	94.19	95.25	94.56	94.56	94.65	94.63	94.61	95.11	94.61	94.05	94.07	94.3	93.74	93.83	93.96	93.1	93.45	93.66	93.17	92.83	92.35	91.96	91.47	90.77	88.25	83.66	0.0
0.0	83.06	88.53	89.87	91.15	92.84	92.78	92.77	93.2	93.16	93.11	93.72	94.15	93.95	94.12	94.42	94.22	94.1	94.12	94.99	94.61	95.23	95.09	94.57	94.9	94.99	95.33	94.94	94.83	94.92	94.81	94.94	94.88	94.76	95.5	94.65	95.1	95.48	94.41	95.05	94.25	95.3	95.06	94.74	95.38	94.4	95.03	94.8	94.29	94.23	94.01	93.95	94.4	93.88	94.04	93.75	93.42	93.48	93.28	92.67	91.31	90.33	87.5	83.16	0.0
0.0	82.98	88.66	91.02	92.0	93.22	93.72	94.08	94.55	94.37	94.95	95.44	95.19	95.44	95.98	95.73	96.21	95.64	95.79	95.67	94.75	95.27	95.14	95.44	95.06	95.11	95.64	95.69	95.6	95.14	95.87	96.03	95.43	95.14	95.32	95.27	95.44	95.24	95.51	95.27	95.38	95.47	95.79	95.26	95.47	96.17	95.87	96.49	94.99	95.55	95.13	94.73	95.09	95.01	94.47	94.56	94.76	94.17	94.18	93.04	92.83	91.68	88.97	84.34	0.0
0.0	82.63	88.28	90.6	92.28	92.51	93.51	94.18	94.29	94.05	94.4	94.7	94.53	94.54	95.03	95.31	95.17	95.44	95.11	95.05	95.41	95.71	95.39	95.48	95.03	95.25	95.09	95.53	95.34	95.43	94.92	95.38	95.42	95.58	95.57	95.04	95.61	95.28	95.04	95.41	95.27	95.82	95.15	94.99	95.58	94.48	94.96	94.85	94.85	94.87	95.11	93.96	94.34	94.55	94.55	94.46	94.28	93.63	93.06	92.39	92.17	90.66	88.38	82.89	0.0
0.0	83.82	89.05	90.79	92.69	93.05	93.77	94.04	95.01	94.93	95.31	95.11	95.48	95.57	95.04	95.44	95.08	95.66	95.8	95.59	95.9	95.96	95.51	95.62	96.31	96.04	95.72	95.71	96.23	95.98	96.07	95.79	95.57	95.52	95.65	95.77	96.29	95.81	95.77	95.78	96.33	95.92	95.54	95.84	96.16	95.4	95.55	95.67	95.42	95.08	95.42	94.97	94.8	94.8	94.89	94.43	94.55	94.64	93.57	93.25	91.77	91.77	89.13	83.59	0.0
